0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/book_search.jsp?search_txt= HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/book_search.jsp?search_txt= HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/book_search.jsp?search_txt= HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/book_search.jsp?search_txt= HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/book_search.jsp?search_txt= HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /favicon.ico HTTP/1.1" 404 819
